dialect,op_name,td_symbol,template,source_file,family,status,arguments,argument_type_hints,results,result_type_hints,param_type_lists
ascendc,ascendc.scatter,AscendC_ScatterOp,DataMoveOp,include/ascir/Dialect/Asc/IR/Basic/OpVecDataMoveExt.td,concat,explicit-def,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; indices:AnyType; calCount:AnyType,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; indices:AnyType; calCount:AnyType,,,
ascendc,ascendc.scatter_l0,AscendC_ScatterL0Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecScatter.td,other,explicit-def,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; dstOffset:AscendC_LocalTensor; dstBase:AnyType; mask:AnyType; repeatTimes:AnyType; srcRepStride:AnyType,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; dstOffset:AscendC_LocalTensor; dstBase:AnyType; mask:AnyType; repeatTimes:AnyType; srcRepStride:AnyType,,,
ascendc,ascendc.scatter_l1,AscendC_ScatterL1Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecScatter.td,other,explicit-def,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; dstOffset:AscendC_LocalTensor; dstBase:AnyType; mask:Variadic<AnyType>; repeatTimes:AnyType; srcRepStride:AnyType,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; dstOffset:AscendC_LocalTensor; dstBase:AnyType; mask:AnyType/Variadic; repeatTimes:AnyType; srcRepStride:AnyType,,,
ascendc,ascendc.scatter_l2,AscendC_ScatterL2Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecScatter.td,other,explicit-def,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; dstOffset:AscendC_LocalTensor; dstBase:AnyType; count:AnyType,dst:AscendC_LocalTensor; src:AscendC_LocalTensor; dstOffset:AscendC_LocalTensor; dstBase:AnyType; count:AnyType,,,
ascendc,ascendc.select_l0,AscendC_SelectL0Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; selMode:AscendC_SelModeAttr; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; selMode:AscendC_SelModeAttr; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,0;0;0;0;-1;0;0;0
ascendc,ascendc.select_l1,AscendC_SelectL1Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; selMode:AscendC_SelModeAttr; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; selMode:AscendC_SelModeAttr; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.select_l2,AscendC_SelectL2Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; selMode:AscendC_SelModeAttr; calCount:AnyType,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; selMode:AscendC_SelModeAttr; calCount:AnyType,,,0;0;0;0;-1;0
ascendc,ascendc.select_reg,AscendC_SelectRegOp,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; selMode:AscendC_SelModeAttr,dst:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AscendC_LocalTensor; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; selMode:AscendC_SelModeAttr,,,0;0;0;0;0
ascendc,ascendc.select_scalar_l0,AscendC_SelectScalarL0Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AnyType; selMode:AscendC_SelModeAttr; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AnyType; selMode:AscendC_SelModeAttr; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,0;0;0;0;-1;0;0;0
ascendc,ascendc.select_scalar_l1,AscendC_SelectScalarL1Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AnyType; selMode:AscendC_SelModeAttr; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AnyType; selMode:AscendC_SelModeAttr; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.select_scalar_l2,AscendC_SelectScalarL2Op,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AnyType; selMode:AscendC_SelModeAttr; calCount:AnyType,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; src1:AnyType; selMode:AscendC_SelModeAttr; calCount:AnyType,,,0;0;0;0;-1;0
ascendc,ascendc.select_scalar_reg,AscendC_SelectScalarRegOp,VectorOp,include/ascir/Dialect/Asc/IR/Basic/OpVecCmpsel.td,elewise,explicit-def,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams,dst:AscendC_LocalTensor; selMask:AscendC_LocalTensor; src0:AscendC_LocalTensor; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams,,,0;0;0;0;0
ascendc,ascendc.set_aipp_functions,AscendC_SetAippFunctionsOp,APIOp,include/ascir/Dialect/Asc/IR/Basic/OpAipp.td,other,explicit-def,src0:AscendC_GlobalTensor; src1:Optional<AscendC_GlobalTensor>; format:AscendC_AippInputFormatAttr; config:AscendC_AippParams,src0:AscendC_GlobalTensor; src1:AscendC_GlobalTensor/Optional; format:AscendC_AippInputFormatAttr; config:AscendC_AippParams,,,
